name,AAV,PTS,I_F_xGoals,Age,Predicted_AAV,Difference
Ben Chiarot,4750000.0,13,4.21,33.0,4107540.4927836047,-642459.5072163953
Clayton Keller,7150000.0,90,29.87,26.0,7620917.357929009,470917.357929009
Mark Scheifele,8500000.0,87,28.83,31.0,8078015.375365747,-421984.62463425286
Nick Cousins,825000.0,15,7.67,31.0,1564175.075479269,739175.075479269
Jordan Spence,1500000.0,28,3.76,23.0,2512338.4733058745,1012338.4733058745
Noah Juulsen,900000.0,0,0.93,27.0,1051731.2436195195,151731.24361951952
Seth Jarvis,7420087.0,67,30.81,22.0,6316539.3571987245,-1103547.6428012755
Mario Ferraro,3250000.0,17,4.28,26.0,3559066.576693426,309066.5766934259
Evan Bouchard,10500000.0,67,13.04,25.0,9597289.588259548,-902710.411740452
Emil Heineman,1100000.0,18,7.83,23.0,1270824.8991643174,170824.8991643174
Auston Matthews,13250000.0,78,41.05,27.0,10871199.310062094,-2378800.6899379063
Jan Rutta,2750000.0,9,1.94,34.0,2753978.219982671,3978.2199826710857
Jonas Siegenthaler,3400000.0,9,2.52,27.0,2788611.0139995306,-611388.9860004694
Jimmy Vesey,800000.0,2,3.48,31.0,1163546.5219916492,363546.5219916492
Chris Tanev,4500000.0,18,1.66,35.0,4654830.49821209,154830.49821208976
J.T. Compher,5100000.0,32,15.58,29.0,4443898.59821013,-656101.4017898701
Pierre-Luc Dubois,8500000.0,66,22.91,26.0,6837307.301251045,-1662692.6987489546
Peyton Krebs,1450000.0,28,10.46,24.0,1874709.3009726866,424709.3009726866
Matthew Kessel,800000.0,3,0.67,24.0,831882.6126724284,31882.612672428368
Erik Haula,3150000.0,21,14.02,33.0,2490736.106601992,-659263.8933980078
Nick Blankenburg,775000.0,16,6.63,26.0,1846960.2200369216,1071960.2200369216
Marco Rossi,5000000.0,60,21.24,23.0,4530706.898481288,-469293.101518712
Niko Mikkola,2500000.0,22,5.74,28.0,3529724.073602522,1029724.0736025218
Victor Hedman,8000000.0,66,12.17,34.0,8390646.973612655,390646.97361265495
Mikko Rantanen,12000000.0,18,36.26,28.0,8484404.443533834,-3515595.556466166
Blake Lizotte,1850000.0,20,7.19,27.0,2191165.638395006,341165.63839500584
Brock McGinn,2750000.0,8,4.56,30.0,2538099.436900958,-211900.56309904205
Radko Gudas,4000000.0,16,3.41,34.0,3894981.670188666,-105018.32981133414
Alexander Wennberg,5000000.0,35,12.73,30.0,5714950.57865864,714950.5786586404
Rickard Rakell,5000000.0,70,31.72,31.0,6298638.171245047,1298638.171245047
Marcus Foligno,4000000.0,29,17.86,33.0,3935859.5511879865,-64140.44881201349
Josh Doan,925000.0,19,14.28,22.0,1769026.0946496173,844026.0946496173
Olle Lycksell,775000.0,5,1.65,25.0,825535.62572571,50535.62572570995
Jonathan Drouin,4000000.0,37,7.23,29.0,4326309.131666551,326309.13166655134
Vasily Podkolzin,1000000.0,24,14.3,23.0,1723880.4466446934,723880.4466446934
Joel Farabee,5000000.0,6,21.49,24.0,3094608.6633554916,-1905391.3366445084
Nick Suzuki,7875000.0,89,19.51,25.0,7635705.644659028,-239294.3553409716
Alex Ovechkin,9500000.0,73,31.07,39.0,8090800.935939415,-1409199.0640605846
Sidney Crosby,8700000.0,91,30.2,37.0,8047265.5604830505,-652734.4395169495
Michael McCarron,900000.0,14,10.6,29.0,1837396.9795666293,937396.9795666293
Tanner Jeannot,3400000.0,13,8.76,27.0,2541312.1893723453,-858687.8106276547
Brayden McNabb,3650000.0,20,3.73,34.0,4037219.682351312,387219.68235131213
Kyle MacLean,775000.0,11,5.65,25.0,1673878.0394465956,898878.0394465956
Kevin Fiala,7875000.0,60,28.48,28.0,7601557.11658313,-273442.8834168697
Alexandre Texier,2100000.0,11,3.79,25.0,1798110.5757996151,-301889.4242003849
Jack McBain,4250000.0,27,12.3,25.0,2928818.8103623944,-1321181.1896376056
Alexander Romanov,6250000.0,20,3.82,25.0,5034824.688612758,-1215175.3113872418
Noah Cates,4000000.0,37,18.15,25.0,3817492.8320239424,-182507.16797605762
Nicolas Aube-Kubel,775000.0,0,2.54,28.0,1000477.3955413275,225477.39554132754
Colton Sissons,2857143.0,21,10.86,31.0,2328726.173155812,-528416.8268441879
Tomas Nosek,775000.0,9,7.55,32.0,1383416.129822402,608416.129822402
Tyler Myers,3000000.0,24,4.9,34.0,3709633.1026697303,709633.1026697303
Erik Karlsson,11500000.0,53,9.13,34.0,9392279.564592654,-2107720.435407346
Tyson Jost,775000.0,9,4.21,26.0,1604340.6969729895,829340.6969729895
John Beecher,900000.0,11,7.4,23.0,1287443.9213779757,387443.9213779757
Dylan Larkin,8700000.0,70,33.97,28.0,8310626.806608533,-389373.19339146744
Cam Fowler,6500000.0,36,5.12,33.0,5329157.917073971,-1170842.0829260293
Patrik Laine,8700000.0,33,11.86,26.0,5483173.536677461,-3216826.463322539
Matthew Knies,7750000.0,58,27.2,22.0,6196946.721338228,-1553053.2786617717
Patrick Giles,775000.0,1,1.4,25.0,842516.2529570885,67516.25295708852
Artemi Panarin,11642857.0,89,25.37,33.0,8432204.079863925,-3210652.9201360755
Warren Foegele,3500000.0,46,26.1,28.0,4607210.769682546,1107210.7696825461
Marcus Pettersson,5500000.0,11,3.68,28.0,4406729.059750089,-1093270.9402499106
Adrian Kempe,5500000.0,73,29.58,28.0,6421560.285974263,921560.2859742632
MacKenzie Weegar,6250000.0,47,11.44,31.0,6977922.491279582,727922.4912795816
Travis Konecny,8750000.0,76,24.74,27.0,6891358.639705282,-1858641.3602947183
Colton Dach,825000.0,7,3.76,22.0,1016876.8090022631,191876.80900226312
David Perron,4000000.0,16,9.8,36.0,3636410.4432925307,-363589.5567074693
Dylan Strome,5000000.0,82,20.86,27.0,6852882.3302354645,1852882.3302354645
Josh Morrissey,6250000.0,62,9.89,29.0,8622376.20507911,2372376.2050791103
Mackie Samoskevich,775000.0,31,17.37,22.0,3095853.3933493854,2320853.3933493854
Filip Hronek,7250000.0,33,4.28,27.0,4320249.379542514,-2929750.6204574862
Dmitry Orlov,6500000.0,28,6.7,33.0,2840503.874444461,-3659496.125555539
Marat Khusnutdinov,925000.0,7,4.48,22.0,1156442.1541190827,231442.15411908273
Devon Toews,7250000.0,44,8.27,30.0,7417260.46269146,167260.4626914598
Shakir Mukhamadullin,1000000.0,9,1.77,23.0,1061299.448656379,61299.44865637901
Brandon Tanev,2500000.0,5,13.19,33.0,2333980.53353743,-166019.46646256978
Parker Wotherspoon,1000000.0,7,1.68,27.0,1066959.379478997,66959.37947899709
Juha Jaaska,775000.0,4,2.01,26.0,1093294.990674192,318294.9906741921
Patrick Brown,775000.0,1,1.04,32.0,856831.904470614,81831.90447061404
Calle Jarnkrok,2100000.0,7,1.99,33.0,1839141.8059334948,-260858.19406650518
Nils Hoglander,3000000.0,25,11.13,24.0,1680317.026587051,-1319682.973412949
Timo Meier,8800000.0,53,29.98,28.0,7888621.302286043,-911378.6977139572
Nate Schmidt,3500000.0,19,3.96,33.0,2999832.8040872584,-500167.1959127416
